metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
dysbiosisCD	Faecalibacterium.prausnitzii	Yes	-0.196159272395375	0.0154539040524086	1595	1534	3.84853570620995e-35	2.34375824508186e-32
dysbiosisCD	Bacteroides.uniformis	Yes	-0.121678357099805	0.0135303394494624	1595	1391	6.79575578172574e-19	2.06930763553549e-16
dysbiosisCD	Eubacterium.rectale	Yes	-0.0982452254018278	0.0125422852260888	1595	1318	8.94881114454923e-15	1.81660866234349e-12
dysbiosisUC	Subdoligranulum.unclassified	Yes	-0.0895975795292834	0.0117067109942303	1595	1546	3.48317655576846e-14	5.30313630615747e-12
dysbiosisCD	Alistipes.putredinis	Yes	-0.0625057318068976	0.0086628355602993	1595	940	8.41073421594202e-13	1.02442742750174e-10
dysbiosisCD	Subdoligranulum.unclassified	Yes	-0.0613630686101769	0.00875480272273488	1595	1546	3.56421793704674e-12	3.61768120610244e-10
dysbiosisnonIBD	Faecalibacterium.prausnitzii	Yes	-0.189797343480156	0.027307082116592	1595	1534	5.32572453786077e-12	4.63338034793887e-10
dysbiosisCD	Escherichia.coli	Yes	0.0763946583041867	0.0112850435005782	1595	975	1.83446577925103e-11	1.39648707445485e-09
dysbiosisnonIBD	Eubacterium.rectale	Yes	-0.146392792942713	0.0221733544396314	1595	1318	5.53215806506129e-11	3.74342695735814e-09
dysbiosisCD	Bacteroides.vulgatus	Yes	-0.0667858303292235	0.011106037709037	1595	1455	2.2671430858287e-09	1.38069013926968e-07
dysbiosisUC	Prevotella.copri	Yes	0.0983910155546056	0.0165580917046397	1595	439	3.51214608111931e-09	1.9444517849106e-07
dysbiosisCD	Clostridium.clostridioforme	Yes	0.0215750171075694	0.00398359566040943	1595	518	7.05116822692839e-08	3.57846787516616e-06
dysbiosisnonIBD	Prevotella.copri	Yes	0.118543509546055	0.0220717803881851	1595	439	9.090848626371e-08	4.25871293343072e-06
antibiotics	Escherichia.coli	Yes	0.049446493210227	0.00924974134760137	1595	975	1.03655283950101e-07	4.50900485182941e-06
dysbiosisCD	Klebsiella.pneumoniae	Yes	0.0263106414366852	0.00491981719851215	1595	171	1.12179174100983e-07	4.55447446849992e-06
dysbiosisCD	Clostridium.hathewayi	Yes	0.0207358459984498	0.0039535495232173	1595	757	1.79368351553081e-07	6.82720788098913e-06
dysbiosisnonIBD	Eubacterium.sp.3.1.31	Yes	-0.0157556392789152	0.00306424302715791	1595	217	3.06548384040127e-07	1.09816450517904e-05
antibiotics	Roseburia.inulinivorans	Yes	-0.0227331171222772	0.00450693556537479	1595	1074	5.0893420220943e-07	1.72189405080857e-05
dysbiosisCD	Alistipes.shahii	Yes	-0.018910394555438	0.00380216438282656	1595	757	7.30364693640605e-07	2.22396049213564e-05
antibiotics	Roseburia.intestinalis	Yes	-0.0564156473165683	0.0113368853791375	1595	1001	7.2017411772511e-07	2.22396049213564e-05
dysbiosisUC	Bacteroides.fragilis	Yes	-0.0748852046334674	0.0158237695183779	1595	891	2.42957190071992e-06	7.04575851208778e-05
antibiotics	Bacteroidales.bacterium.ph8	Yes	-0.0101789121008541	0.00220828351835028	1595	472	4.37931827482858e-06	0.000115956731711765
dysbiosisCD	Ruminococcus.obeum	Yes	-0.0117737939681924	0.00255207568860535	1595	1346	4.29710714094719e-06	0.000115956731711765
antibiotics	Roseburia.hominis	Yes	-0.0165170120102574	0.00362566834736402	1595	1061	5.63416491268765e-06	0.00014284318111394
antibiotics	Dialister.invisus	Yes	-0.0267497935455172	0.00589338979466097	1595	777	6.09839525281187e-06	0.00014284318111394
antibiotics	Klebsiella.pneumoniae	Yes	0.0194787275698379	0.00428402419918015	1595	171	5.87656553265833e-06	0.00014284318111394
dysbiosisCD	Roseburia.inulinivorans	Yes	-0.0242531527877393	0.00538850956127175	1595	1074	7.32263654257866e-06	0.000165166135349274
antibiotics	Eubacterium.rectale	Yes	-0.0465431503923313	0.0103674140305379	1595	1318	7.6694664618132e-06	0.000166810895544437
dysbiosisCD	Bacteroides.thetaiotaomicron	Yes	-0.0289876658140909	0.006658651559622	1595	1121	1.42887502757295e-05	0.000300063755790319
dysbiosisCD	Coprococcus.comes	Yes	-0.0101693140415477	0.00234578522901721	1595	848	1.54976296596577e-05	0.00031460188209105
dysbiosisUC	Bacteroides.caccae	Yes	-0.0503461237162867	0.0117172875746486	1595	1072	1.84650240181671e-05	0.000347096158391717
age	Clostridium.clostridioforme	age	0.000798275848448881	0.000176400819413521	1595	518	1.88081662182704e-05	0.000347096158391717
dysbiosisCD	Veillonella.unclassified	Yes	0.0242759015083129	0.00565333601657521	1595	995	1.86524930244192e-05	0.000347096158391717
dysbiosisUC	Faecalibacterium.prausnitzii	Yes	-0.0897178500286119	0.0209741042865733	1595	1534	2.00718449747483e-05	0.000359522164400638
dysbiosisCD	Lachnospiraceae.bacterium.3.1.46FAA	Yes	-0.011159905446145	0.0026404138203025	1595	992	2.50978230574162e-05	0.000436702121199041
dysbiosisCD	Sutterella.wadsworthensis	Yes	0.0212311029049279	0.00509957722030752	1595	432	3.30866712727922e-05	0.000559716189031402
dysbiosisCD	Odoribacter.splanchnicus	Yes	-0.0167130229304596	0.00407320493501177	1595	662	4.28624805145425e-05	0.000705493260360983
dysbiosisUC	Oscillibacter.unclassified	Yes	-0.0298104183586197	0.00736410394998197	1595	1296	5.42387830856996e-05	0.000869247865768185
antibiotics	Sutterella.wadsworthensis	Yes	0.0164427593778163	0.00409600435809745	1595	432	6.25529251670026e-05	0.000976787985300118
dysbiosisUC	Bacteroides.uniformis	Yes	-0.0704882079460164	0.0177570080419331	1595	1391	7.54498666359456e-05	0.00114872421953227
antibiotics	Bacteroides.thetaiotaomicron	Yes	0.0210771960019567	0.00532666639579621	1595	1121	7.94873933166667e-05	0.00118067859828902
dysbiosisCD	Parabacteroides.distasonis	Yes	-0.0284027415730463	0.00726622317897181	1595	935	9.6686803456906e-05	0.00140195865012514
dysbiosisCD	Roseburia.hominis	Yes	-0.0168749101590997	0.00439858174768197	1595	1061	0.000130013707075639	0.00184135692114103
antibiotics	Ruminococcus.callidus	Yes	-0.00658208852658986	0.00173273840274368	1595	323	0.000151154671415337	0.00209211806572591
antibiotics	Bacteroides.finegoldii	Yes	0.00999915606563358	0.00263664184334119	1595	400	0.000155254974479453	0.00210111732128859
antibiotics	Alistipes.onderdonkii	Yes	-0.0200023162723843	0.00528801532225271	1595	896	0.000161296122579531	0.0021354204054551
dysbiosisUC	Eubacterium.hallii	Yes	-0.0139031570733068	0.00368356273541951	1595	923	0.000166534172261061	0.00215785767887204
dysbiosisCD	Burkholderiales.bacterium.1.1.47	Yes	-0.0081729461774298	0.0022584944868792	1595	731	0.000305433185677972	0.00387518354328927
dysbiosisCD	Escherichia.unclassified	Yes	0.00858129847323908	0.00238097009653213	1595	637	0.000342284299920504	0.00425410487044055
antibiotics	Dorea.longicatena	Yes	-0.00921073852623212	0.00263270209885788	1595	1063	0.000481318345724659	0.00586245745092634
antibiotics	Bifidobacterium.pseudocatenulatum	Yes	0.00591691310075681	0.00169395985903174	1595	230	0.000490986961034542	0.0058629619464713
antibiotics	Bifidobacterium.longum	Yes	0.0119851969289841	0.00344526562749255	1595	1002	0.00051783055606086	0.00600647732248317
dysbiosisCD	Bilophila.unclassified	Yes	-0.0106213011423126	0.00305555969910495	1595	885	0.000522731195552723	0.00600647732248317
dysbiosisUC	Bacteroides.faecis	Yes	0.0192737895443263	0.0055685402380195	1595	604	0.000553175059999519	0.00614157660234572
dysbiosisUC	Klebsiella.pneumoniae	Yes	0.0246689390570944	0.00712975713263461	1595	171	0.000554657985433521	0.00614157660234572
antibiotics	Clostridium.bolteae	Yes	0.01324463129933	0.00393195194390192	1595	1138	0.00077521516971871	0.00843046497069097
dysbiosisCD	Dorea.longicatena	Yes	-0.0109340213023153	0.00325267195980721	1595	1063	0.000793721629291706	0.00848028898664297
dysbiosisCD	Alistipes.unclassified	Yes	0.0126934730876691	0.00380660728358206	1595	224	0.000874281667654162	0.0091799575103687
antibiotics	Clostridium.hathewayi	Yes	0.010873702961035	0.00328594929291663	1595	757	0.0009571057705984	0.00966095942365923
dysbiosisCD	Clostridium.symbiosum	Yes	0.0109551988615721	0.0033057325416729	1595	801	0.000941227592693507	0.00966095942365923
dysbiosisCD	Eubacterium.hallii	Yes	-0.00891543923167503	0.00269636109543019	1595	923	0.000967682306803305	0.00966095942365923
dysbiosisCD	Parasutterella.excrementihominis	Yes	-0.00704381838379127	0.00214839674177992	1595	759	0.00106594015703483	0.0104702831553905
